Date,Open,High,Low,Close,Adj Close,Volume
2004-01-12,5630.430176,5655.279785,5627.700195,5653.310059,5653.310059,1700
2004-01-13,5653.330078,5661.720215,5593.270020,5622.370117,5622.370117,0
2004-01-14,5622.370117,5667.890137,5622.370117,5667.549805,5667.549805,0
2004-01-15,5667.439941,5704.040039,5643.790039,5681.520020,5681.520020,0
2004-01-16,5683.169922,5708.890137,5680.700195,5707.600098,5707.600098,0
2004-01-20,5708.740234,5725.339844,5693.470215,5701.470215,5701.470215,1700
2004-01-21,5701.470215,5769.950195,5693.959961,5766.040039,5766.040039,0
2004-01-22,5766.279785,5784.060059,5754.970215,5762.879883,5762.879883,0
2004-01-23,5763.399902,5789.520020,5724.000000,5743.180176,5743.180176,0
2004-01-26,5743.180176,5821.549805,5742.250000,5820.870117,5820.870117,0
2004-01-27,5820.870117,5820.870117,5770.990234,5770.990234,5770.990234,0
2004-01-28,5771.060059,5794.729980,5682.879883,5696.169922,5696.169922,0
2004-01-29,5696.169922,5743.270020,5684.870117,5740.600098,5740.600098,0
2004-01-30,5740.600098,5740.600098,5698.540039,5719.339844,5719.339844,0
2004-02-02,5719.209961,5779.580078,5705.520020,5746.870117,5746.870117,0
2004-02-03,5746.209961,5749.979980,5722.959961,5741.990234,5741.990234,1700
2004-02-04,5741.990234,5752.529785,5715.620117,5728.750000,5728.750000,0
2004-02-05,5728.419922,5748.279785,5715.509766,5740.549805,5740.549805,0
2004-02-06,5740.609863,5795.810059,5730.729980,5795.549805,5795.549805,1700
2004-02-09,5795.549805,5797.930176,5773.060059,5777.700195,5777.700195,1700
2004-02-10,5777.540039,5816.629883,5769.770020,5807.220215,5807.220215,0
2004-02-11,5807.220215,5884.180176,5792.060059,5877.169922,5877.169922,1700
2004-02-12,5877.149902,5877.149902,5840.970215,5846.399902,5846.399902,0
2004-02-13,5846.379883,5869.879883,5808.350098,5821.220215,5821.220215,0
2004-02-17,5821.399902,5880.339844,5821.399902,5870.490234,5870.490234,1700
2004-02-18,5870.479980,5870.479980,5829.279785,5838.370117,5838.370117,0
2004-02-19,5838.850098,5870.879883,5823.609863,5826.850098,5826.850098,0
2004-02-20,5827.240234,5843.330078,5797.660156,5817.299805,5817.299805,1700
2004-02-23,5817.450195,5832.549805,5799.950195,5821.629883,5821.629883,0
2004-02-24,5821.310059,5836.479980,5785.990234,5808.299805,5808.299805,1700
2004-02-25,5807.810059,5832.479980,5804.680176,5825.350098,5825.350098,1700
2004-02-26,5824.899902,5837.970215,5803.259766,5828.919922,5828.919922,1700
2004-02-27,5828.939941,5860.779785,5818.979980,5824.580078,5824.580078,0
2004-03-01,5825.000000,5881.910156,5825.000000,5870.330078,5870.330078,1700
2004-03-02,5870.109863,5870.549805,5825.490234,5842.750000,5842.750000,0
2004-03-03,5842.750000,5864.310059,5822.229980,5860.060059,5860.060059,1700
2004-03-04,5859.620117,5875.600098,5854.549805,5870.950195,5870.950195,0
2004-03-05,5870.950195,5916.330078,5843.930176,5888.500000,5888.500000,0
2004-03-08,5888.500000,5905.120117,5856.819824,5858.370117,5858.370117,0
2004-03-09,5858.359863,5858.359863,5806.109863,5824.279785,5824.279785,0
2004-03-10,5824.270020,5826.740234,5728.580078,5738.209961,5738.209961,1700
2004-03-11,5738.250000,5741.089844,5636.990234,5644.149902,5644.149902,0
2004-03-12,5644.169922,5699.910156,5644.169922,5699.120117,5699.120117,1700
2004-03-15,5699.089844,5699.399902,5614.410156,5622.009766,5622.009766,0
2004-03-16,5622.580078,5670.580078,5616.509766,5658.899902,5658.899902,1700
2004-03-17,5658.899902,5720.990234,5658.899902,5710.750000,5710.750000,0
2004-03-18,5710.669922,5726.950195,5663.580078,5710.700195,5710.700195,1700
